cricinfo_id,fetch_status,fetch_error,meta_full_name,meta_known_as,meta_country,meta_dob,meta_birthplace,meta_batting_style,batting_hand,meta_bowling_style,bowling_hand,bowling_type,meta_playing_role,fetched_at,name,full_name,country,dob,batting_style,bowling_style
35320,success,,Sachin Ramesh Tendulkar,Sachin Tendulkar,India,1973-04-24,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:35:58.408711,Sachin Tendulkar,Sachin Ramesh Tendulkar,India,1973-04-24,Right-hand bat,Right-arm offbreak
49289,success,,Denagamage Proboth Mahela de Silva Jayawardene,Mahela Jayawardene,Sri Lanka,1977-05-27,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:35:59.87055,Mahela Jayawardene,Denagamage Proboth Mahela de Silva Jayawardene,Sri Lanka,1977-05-27,Right-hand bat,Right-arm medium
49209,success,,Sanath Teran Jayasuriya,Sanath Jayasuriya,Sri Lanka,1969-06-30,,Left-hand bat,left,Slow left-arm orthodox,left,spin,,2026-06-09 18:36:01.527075,Sanath Jayasuriya,Sanath Teran Jayasuriya,Sri Lanka,1969-06-30,Left-hand bat,Slow left-arm orthodox
50710,success,,Kumar Chokshanada Sangakkara,Kumar Sangakkara,Sri Lanka,1977-10-27,,Left-hand bat,left,Right-arm offbreak,right,spin,,2026-06-09 18:36:03.383913,Kumar Sangakkara,Kumar Chokshanada Sangakkara,Sri Lanka,1977-10-27,Left-hand bat,Right-arm offbreak
40570,success,,Inzamam-ul-Haq,Inzamam-ul-Haq,Pakistan,1970-03-03,,Right-hand bat,right,Slow left-arm orthodox,left,spin,,2026-06-09 18:36:04.84006,Inzamam-ul-Haq,Inzamam-ul-Haq,Pakistan,1970-03-03,Right-hand bat,Slow left-arm orthodox
7133,success,,Ricky Thomas Ponting,Ricky Ponting,Australia,1974-12-19,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:36:06.296167,Ricky Ponting,Ricky Thomas Ponting,Australia,1974-12-19,Right-hand bat,Right-arm medium
28081,success,,Mahendra Singh Dhoni,MS Dhoni,India,1981-07-07,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:36:08.153712,MS Dhoni,Mahendra Singh Dhoni,India,1981-07-07,Right-hand bat,Right-arm medium
28114,success,,Rahul Sharad Dravid,Rahul Dravid,India,1973-01-11,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:36:09.612527,Rahul Dravid,Rahul Sharad Dravid,India,1973-01-11,Right-hand bat,Right-arm offbreak
26329,success,,Mohammad Azharuddin,Mohammad Azharuddin,India,1963-02-08,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:36:10.960512,Mohammad Azharuddin,Mohammad Azharuddin,India,1963-02-08,Right-hand bat,Right-arm medium
48472,success,,Tillakaratne Mudiyanselage Dilshan,Tillakaratne Dilshan,Sri Lanka,1976-10-14,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:36:12.416661,Tillakaratne Dilshan,Tillakaratne Mudiyanselage Dilshan,Sri Lanka,1976-10-14,Right-hand bat,Right-arm offbreak
45789,success,,Jacques Henry Kallis,Jacques Kallis,South Africa,1975-10-16,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:36:13.872806,Jacques Kallis,Jacques Henry Kallis,South Africa,1975-10-16,Right-hand bat,Right-arm fast-medium
8192,success,,Stephen Rodger Waugh,Steve Waugh,Australia,1965-06-02,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:36:15.328893,Steve Waugh,Stephen Rodger Waugh,Australia,1965-06-02,Right-hand bat,Right-arm medium
50804,success,,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,Chaminda Vaas,Sri Lanka,1974-01-27,,Left-hand bat,left,Left-arm fast-medium,left,pace,,2026-06-09 18:36:16.678569,Chaminda Vaas,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,Sri Lanka,1974-01-27,Left-hand bat,Left-arm fast-medium
28779,success,,Sourav Chandidas Ganguly,Sourav Ganguly,India,1972-07-08,,Left-hand bat,left,Right-arm medium,right,pace,,2026-06-09 18:36:18.134077,Sourav Ganguly,Sourav Chandidas Ganguly,India,1972-07-08,Left-hand bat,Right-arm medium
48462,success,,Pinnaduwage Aravinda de Silva,Aravinda de Silva,Sri Lanka,1965-10-17,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:36:19.590348,Aravinda de Silva,Pinnaduwage Aravinda de Silva,Sri Lanka,1965-10-17,Right-hand bat,Right-arm offbreak
46774,success,,Shaun Maclean Pollock,Shaun Pollock,South Africa,1973-07-16,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:36:21.046414,Shaun Pollock,Shaun Maclean Pollock,South Africa,1973-07-16,Right-hand bat,Right-arm fast-medium
51880,success,,Christopher Henry Gayle,Chris Gayle,West Indies,1979-09-21,,Left-hand bat,left,Right-arm offbreak,right,spin,,2026-06-09 18:36:22.70292,Chris Gayle,Christopher Henry Gayle,West Indies,1979-09-21,Left-hand bat,Right-arm offbreak
52337,success,,Brian Charles Lara,Brian Lara,West Indies,1969-05-02,,Left-hand bat,left,Legbreak googly,,spin,,2026-06-09 18:36:24.04832,Brian Lara,Brian Charles Lara,West Indies,1969-05-02,Left-hand bat,Legbreak googly
38710,success,,Daniel Luca Vettori,Daniel Vettori,New Zealand,1979-01-27,,Left-hand bat,left,Slow left-arm orthodox,left,spin,,2026-06-09 18:36:25.50472,Daniel Vettori,Daniel Luca Vettori,New Zealand,1979-01-27,Left-hand bat,Slow left-arm orthodox
44111,success,,Mark Verdon Boucher,Mark Boucher,South Africa,1976-12-03,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:36:26.997926,Mark Boucher,Mark Verdon Boucher,South Africa,1976-12-03,Right-hand bat,Right-arm medium
43650,success,,Mohammad Yousuf,Mohammad Yousuf,Pakistan,1974-08-27,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:36:28.453964,Mohammad Yousuf,Mohammad Yousuf,Pakistan,1974-08-27,Right-hand bat,Right-arm offbreak
5390,success,,Adam Craig Gilchrist,Adam Gilchrist,Australia,1971-11-14,,Left-hand bat,left,Right-arm offbreak,right,spin,,2026-06-09 18:36:29.999145,Adam Gilchrist,Adam Craig Gilchrist,Australia,1971-11-14,Left-hand bat,Right-arm offbreak
42657,success,,Shoaib Malik,Shoaib Malik,Pakistan,1982-02-01,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:36:31.346006,Shoaib Malik,Shoaib Malik,Pakistan,1982-02-01,Right-hand bat,Right-arm offbreak
42623,success,,Saleem Malik,Saleem Malik,Pakistan,1963-04-16,,Right-hand bat,right,Right-arm slow-medium,right,pace,,2026-06-09 18:36:32.804571,Saleem Malik,Saleem Malik,Pakistan,1963-04-16,Right-hand bat,Right-arm slow-medium
34102,success,,Rohit Gurunath Sharma,Rohit Sharma,India,1987-04-30,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:36:34.26095,Rohit Sharma,Rohit Gurunath Sharma,India,1987-04-30,Right-hand bat,Right-arm offbreak
37000,success,,Stephen Paul Fleming,Stephen Fleming,New Zealand,1973-04-01,,Left-hand bat,left,,,,,2026-06-09 18:36:35.607672,Stephen Fleming,Stephen Paul Fleming,New Zealand,1973-04-01,Left-hand bat,
56029,success,,Mohammad Mushfiqur Rahim,Mushfiqur Rahim,Bangladesh,1987-05-09,,Right-hand bat,right,,,,,2026-06-09 18:36:37.063483,Mushfiqur Rahim,Mohammad Mushfiqur Rahim,Bangladesh,1987-05-09,Right-hand bat,
4174,success,,Allan Robert Border,Allan Border,Australia,1955-07-27,,Left-hand bat,left,Slow left-arm orthodox,left,spin,,2026-06-09 18:36:38.413326,Allan Border,Allan Robert Border,Australia,1955-07-27,Left-hand bat,Slow left-arm orthodox
30176,success,,Anil Kumble,Anil Kumble,India,1970-10-17,,Right-hand bat,right,Legbreak googly,,spin,,2026-06-09 18:36:39.767482,Anil Kumble,Anil Kumble,India,1970-10-17,Right-hand bat,Legbreak googly
50244,success,,Arjuna Ranatunga,Arjuna Ranatunga,Sri Lanka,1963-12-01,,Left-hand bat,left,Right-arm medium,right,pace,,2026-06-09 18:36:41.22864,Arjuna Ranatunga,Arjuna Ranatunga,Sri Lanka,1963-12-01,Left-hand bat,Right-arm medium
48124,success,,Marvan Samson Atapattu,Marvan Atapattu,Sri Lanka,1970-11-22,,Right-hand bat,right,Legbreak,,spin,,2026-06-09 18:36:42.684896,Marvan Atapattu,Marvan Samson Atapattu,Sri Lanka,1970-11-22,Right-hand bat,Legbreak
51469,success,,Shivnarine Chanderpaul,Shivnarine Chanderpaul,West Indies,1974-08-16,,Left-hand bat,left,Legbreak,,spin,,2026-06-09 18:36:44.141273,Shivnarine Chanderpaul,Shivnarine Chanderpaul,West Indies,1974-08-16,Left-hand bat,Legbreak
39836,success,,Abdul Razzaq,Abdul Razzaq,Pakistan,1979-12-02,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:36:45.494198,Abdul Razzaq,Abdul Razzaq,Pakistan,1979-12-02,Right-hand bat,Right-arm fast-medium
43652,success,,Mohammad Younis Khan,Younis Khan,Pakistan,1977-11-29,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:36:46.950284,Younis Khan,Mohammad Younis Khan,Pakistan,1977-11-29,Right-hand bat,Right-arm medium
43543,success,,Waqar Younis Maitla,Waqar Younis,Pakistan,1971-11-16,,Right-hand bat,right,Right-arm fast,right,pace,,2026-06-09 18:36:48.292888,Waqar Younis,Waqar Younis Maitla,Pakistan,1971-11-16,Right-hand bat,Right-arm fast
37737,success,,Brendon Barrie McCullum,Brendon McCullum,New Zealand,1981-09-27,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:36:49.637373,Brendon McCullum,Brendon Barrie McCullum,New Zealand,1981-09-27,Right-hand bat,Right-arm medium
35263,success,,Virender Sehwag,Virender Sehwag,India,1978-10-20,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:36:51.093806,Virender Sehwag,Virender Sehwag,India,1978-10-20,Right-hand bat,Right-arm offbreak
37232,success,,Chris Zinzan Harris,Chris Harris,New Zealand,1969-11-20,,Left-hand bat,left,Right-arm medium,right,pace,,2026-06-09 18:36:52.447686,Chris Harris,Chris Zinzan Harris,New Zealand,1969-11-20,Left-hand bat,Right-arm medium
6565,success,,Glenn Donald McGrath,Glenn McGrath,Australia,1970-02-09,,Right-hand bat,right,Right-arm fast-medium,right,pace,,2026-06-09 18:36:53.904146,Glenn McGrath,Glenn Donald McGrath,Australia,1970-02-09,Right-hand bat,Right-arm fast-medium
24598,success,,Eoin Joseph Gerard Morgan,Eoin Morgan,England,1986-09-10,,Left-hand bat,left,Right-arm medium,right,pace,,2026-06-09 18:36:55.419757,Eoin Morgan,Eoin Joseph Gerard Morgan,England,1986-09-10,Left-hand bat,Right-arm medium
45224,success,,Herschelle Herman Gibbs,Herschelle Gibbs,South Africa,1974-02-23,,Right-hand bat,right,Right-arm bowler,right,,,2026-06-09 18:36:56.87661,Herschelle Gibbs,Herschelle Herman Gibbs,South Africa,1974-02-23,Right-hand bat,Right-arm bowler
42605,success,,Saeed Anwar,Saeed Anwar,Pakistan,1968-09-06,,Left-hand bat,left,Slow left-arm orthodox,left,spin,,2026-06-09 18:36:58.232614,Saeed Anwar,Saeed Anwar,Pakistan,1968-09-06,Left-hand bat,Slow left-arm orthodox
56143,success,,Shakib Al Hasan,Shakib Al Hasan,Bangladesh,1987-03-24,,Left-hand bat,left,Slow left-arm orthodox,left,spin,,2026-06-09 18:37:00.320487,Shakib Al Hasan,Shakib Al Hasan,Bangladesh,1987-03-24,Left-hand bat,Slow left-arm orthodox
46973,success,,Jonathan Neil Rhodes,Jonty Rhodes,South Africa,1969-07-27,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:37:01.668382,Jonty Rhodes,Jonathan Neil Rhodes,South Africa,1969-07-27,Right-hand bat,Right-arm medium
4578,success,,Michael John Clarke,Michael Clarke,Australia,1981-04-02,,Right-hand bat,right,Slow left-arm orthodox,left,spin,,2026-06-09 18:37:03.018957,Michael Clarke,Michael John Clarke,Australia,1981-04-02,Right-hand bat,Slow left-arm orthodox
8189,success,,Mark Edward Waugh,Mark Waugh,Australia,1965-06-02,,Right-hand bat,right,Right-arm medium,right,pace,,2026-06-09 18:37:04.475322,Mark Waugh,Mark Edward Waugh,Australia,1965-06-02,Right-hand bat,Right-arm medium
56194,success,,Tamim Iqbal Khan,Tamim Iqbal,Bangladesh,1989-03-20,,Left-hand bat,left,,,,,2026-06-09 18:37:06.16918,Tamim Iqbal,Tamim Iqbal Khan,Bangladesh,1989-03-20,Left-hand bat,
56025,success,,Mohammad Mahmudullah,Mahmudullah,Bangladesh,1986-02-04,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:37:07.825769,Mahmudullah,Mohammad Mahmudullah,Bangladesh,1986-02-04,Right-hand bat,Right-arm offbreak
52047,success,,Desmond Leo Haynes,Desmond Haynes,West Indies,1956-02-15,,Right-hand bat,right,,,,,2026-06-09 18:37:09.174503,Desmond Haynes,Desmond Leo Haynes,West Indies,1956-02-15,Right-hand bat,
29264,success,,Harbhajan Singh,Harbhajan Singh,India,1980-07-03,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:37:10.832766,Harbhajan Singh,Harbhajan Singh,India,1980-07-03,Right-hand bat,Right-arm offbreak
38699,success,,Luteru Ross Poutoa Lote Taylor,Ross Taylor,Samoa,1984-03-08,,Right-hand bat,right,Right-arm offbreak,right,spin,,2026-06-09 18:37:12.289399,Ross Taylor,Luteru Ross Poutoa Lote Taylor,Samoa,1984-03-08,Right-hand bat,Right-arm offbreak
50747,success,,Warushavithana Upul Tharanga,Upul Tharanga,Sri Lanka,1985-02-02,,Left-hand bat,left,,,,,2026-06-09 18:37:13.745805,Upul Tharanga,Warushavithana Upul Tharanga,Sri Lanka,1985-02-02,Left-hand bat,
