format,playerId,name,fullName,nationality,role,battingHand,hasCricsheetId,bowlingTypeFaced,runs,balls,outs,average,strikeRate,fours,sixes,boundaryRuns,boundaryRunPercent,dotBalls,dotBallPercent,deliveriesSeen,metadataBowlerDeliveries,playerJsonBowlerDeliveries,dismissalKinds
test,1326798,AM Ghazanfar,AM Ghazanfar,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1326798,AM Ghazanfar,AM Ghazanfar,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1059030,Abdul Malik,Abdul Malik,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1059030,Abdul Malik,Abdul Malik,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,974173,Abdul Noori,Abdul Wasi Noori,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,974173,Abdul Noori,Abdul Wasi Noori,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,420402,Afsar Zazai,Afsar Khan Zazai,Afghanistan,wicketkeeper,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,420402,Afsar Zazai,Afsar Khan Zazai,Afghanistan,wicketkeeper,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,402245,Amir Hamza,Amir Hamza,Afghanistan,all-rounder,,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,402245,Amir Hamza,Amir Hamza,Afghanistan,all-rounder,,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,819429,Azmatullah Omarzai,Azmatullah Omarzai,Afghanistan,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,819429,Azmatullah Omarzai,Azmatullah Omarzai,Afghanistan,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1174726,Bilal Sami,Bilal Sami,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1174726,Bilal Sami,Bilal Sami,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,819441,Darwish Rasooli,Darwish Rasooli,Afghanistan,batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,819441,Darwish Rasooli,Darwish Rasooli,Afghanistan,batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,568136,Fareed Malik,Fareed Ahmad Malik,Afghanistan,bowler,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,568136,Fareed Malik,Fareed Ahmad Malik,Afghanistan,bowler,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,976429,Farmanullah Safi,Farmanullah Safi,Afghanistan,bowler,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,976429,Farmanullah Safi,Farmanullah Safi,Afghanistan,bowler,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,974175,Fazalhaq Farooqi,Fazalhaq Farooqi,Afghanistan,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,974175,Fazalhaq Farooqi,Fazalhaq Farooqi,Afghanistan,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,352048,Gulbadin Naib,Gulbadin Naib,Afghanistan,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,352048,Gulbadin Naib,Gulbadin Naib,Afghanistan,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,311427,Hamid Hassan,Hamid Hassan,Afghanistan,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,311427,Hamid Hassan,Hamid Hassan,Afghanistan,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,440970,Hashmatullah Shahidi,Hashmatullah Shahidi,Afghanistan,batsman,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,440970,Hashmatullah Shahidi,Hashmatullah Shahidi,Afghanistan,batsman,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,921509,Ibrahim Zadran,Ibrahim Zadran,Afghanistan,batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,921509,Ibrahim Zadran,Ibrahim Zadran,Afghanistan,batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1276922,Ijaz Ahmadzai,Ijaz Ahmad Ahmadzai,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1276922,Ijaz Ahmadzai,Ijaz Ahmad Ahmadzai,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
