format,playerId,name,fullName,nationality,role,battingHand,hasCricsheetId,paceRuns,paceBalls,paceOuts,paceAverage,paceStrikeRate,paceFours,paceSixes,paceMetadataBowlerDeliveries,pacePlayerJsonBowlerDeliveries,spinRuns,spinBalls,spinOuts,spinAverage,spinStrikeRate,spinFours,spinSixes,spinMetadataBowlerDeliveries,spinPlayerJsonBowlerDeliveries
test,1326798,AM Ghazanfar,AM Ghazanfar,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1059030,Abdul Malik,Abdul Malik,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,974173,Abdul Noori,Abdul Wasi Noori,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,420402,Afsar Zazai,Afsar Khan Zazai,Afghanistan,wicketkeeper,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,402245,Amir Hamza,Amir Hamza,Afghanistan,all-rounder,,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,819429,Azmatullah Omarzai,Azmatullah Omarzai,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1174726,Bilal Sami,Bilal Sami,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,819441,Darwish Rasooli,Darwish Rasooli,Afghanistan,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,568136,Fareed Malik,Fareed Ahmad Malik,Afghanistan,bowler,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,976429,Farmanullah Safi,Farmanullah Safi,Afghanistan,bowler,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,974175,Fazalhaq Farooqi,Fazalhaq Farooqi,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,352048,Gulbadin Naib,Gulbadin Naib,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,311427,Hamid Hassan,Hamid Hassan,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,440970,Hashmatullah Shahidi,Hashmatullah Shahidi,Afghanistan,batsman,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,921509,Ibrahim Zadran,Ibrahim Zadran,Afghanistan,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1276922,Ijaz Ahmadzai,Ijaz Ahmad Ahmadzai,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,935553,Ikram Alikhil,Ikram Alikhil,Afghanistan,wicketkeeper,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1094444,Ismat Alam,Ismat Alam,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,793467,Karim Janat,Karim Janat,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1196075,Khalil Gurbaz,Khalil Gurbaz,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,308235,Mohammad Ahmadi,Mohammad Javed Ahmadi,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,440968,Mohammad Ahmadzai,Mohammad Yamin Ahmadzai,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1076579_SPLIT_T20_UNKNOWN,Mohammad Ishaq,Mohammad Ishaq,Afghanistan,batsman,,no,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,25913,Mohammad Nabi,Mohammad Nabi,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1174749,Mohammad Safi,Mohammad Saleem Safi,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1276921,Mohammad Zadran,Mohammad Naveed Zadran,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,974109,Mujeeb Rahman,Mujeeb Ur Rahman,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,633399,Munir Ahmad,Munir Ahmad,Afghanistan,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,524049,Najibullah Zadran,Najibullah Zadran,Afghanistan,batsman,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1199434,Nangeyalia Kharote,Nangeyalia Kharote,Afghanistan,bowler,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,524048,Nasir Jamal,Nasir Jamal,Afghanistan,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
