reason,name,deliveryCount
batter_not_in_player_json_output_list,KC Sangakkara,31522
batter_not_in_player_json_output_list,AN Cook,30911
batter_not_in_player_json_output_list,KS Williamson,29281
batter_not_in_player_json_output_list,HM Amla,28318
batter_not_in_player_json_output_list,AB de Villiers,25685
batter_not_in_player_json_output_list,LRPL Taylor,24589
batter_not_in_player_json_output_list,DPMD Jayawardene,24337
batter_not_in_player_json_output_list,MJ Clarke,24190
batter_not_in_player_json_output_list,IR Bell,22184
batter_not_in_player_json_output_list,JH Kallis,21989
batter_not_in_player_json_output_list,DA Warner,21879
batter_not_in_player_json_output_list,MS Dhoni,21440
batter_not_in_player_json_output_list,Younis Khan,20558
batter_not_in_player_json_output_list,RT Ponting,20463
batter_not_in_player_json_output_list,Tamim Iqbal,19981
batter_not_in_player_json_output_list,GC Smith,19866
batter_not_in_player_json_output_list,S Chanderpaul,19549
batter_not_in_player_json_output_list,Azhar Ali,19541
batter_not_in_player_json_output_list,SR Tendulkar,19528
batter_not_in_player_json_output_list,R Dravid,18997
batter_not_in_player_json_output_list,KP Pietersen,18976
batter_not_in_player_json_output_list,Misbah-ul-Haq,18644
batter_not_in_player_json_output_list,TM Dilshan,18556
batter_not_in_player_json_output_list,MEK Hussey,18291
batter_not_in_player_json_output_list,Shakib Al Hasan,17046
batter_not_in_player_json_output_list,MJ Guptill,16591
batter_not_in_player_json_output_list,AJ Strauss,16507
batter_not_in_player_json_output_list,F du Plessis,16426
batter_not_in_player_json_output_list,CA Pujara,16327
batter_not_in_player_json_output_list,Mohammad Hafeez,16134
batter_not_in_player_json_output_list,BB McCullum,15912
batter_not_in_player_json_output_list,UT Khawaja,14835
batter_not_in_player_json_output_list,CH Gayle,14774
batter_not_in_player_json_output_list,AM Rahane,14393
batter_not_in_player_json_output_list,PD Collingwood,14277
batter_not_in_player_json_output_list,Mahmudullah,14210
batter_not_in_player_json_output_list,G Gambhir,14146
batter_not_in_player_json_output_list,SR Watson,13981
batter_not_in_player_json_output_list,MN Samuels,13169
batter_not_in_player_json_output_list,V Sehwag,12982
batter_not_in_player_json_output_list,S Dhawan,12328
batter_not_in_player_json_output_list,WU Tharanga,12277
batter_not_in_player_json_output_list,VVS Laxman,12110
batter_not_in_player_json_output_list,JP Duminy,12080
batter_not_in_player_json_output_list,IJL Trott,12041
batter_not_in_player_json_output_list,ML Hayden,11996
batter_not_in_player_json_output_list,Shoaib Malik,11953
batter_not_in_player_json_output_list,Asad Shafiq,11777
batter_not_in_player_json_output_list,Yuvraj Singh,11594
batter_not_in_player_json_output_list,D Elgar,11417
batter_not_in_player_json_output_list,EJG Morgan,10885
batter_not_in_player_json_output_list,H Masakadza,10420
batter_not_in_player_json_output_list,RR Sarwan,10193
batter_not_in_player_json_output_list,L Wolvaardt,10034
batter_not_in_player_json_output_list,HDRL Thirimanne,10005
batter_not_in_player_json_output_list,BJ Watling,9835
batter_not_in_player_json_output_list,BJ Haddin,9611
batter_not_in_player_json_output_list,S Mandhana,9536
batter_not_in_player_json_output_list,MM Ali,9282
batter_not_in_player_json_output_list,MV Boucher,9166
batter_not_in_player_json_output_list,M Vijay,9094
batter_not_in_player_json_output_list,AJ Finch,9018
batter_not_in_player_json_output_list,TT Samaraweera,8906
batter_not_in_player_json_output_list,SM Katich,8872
batter_not_in_player_json_output_list,TT Beaumont,8827
batter_not_in_player_json_output_list,SK Raina,8804
batter_not_in_player_json_output_list,SE Marsh,8745
batter_not_in_player_json_output_list,HC Knight,8595
batter_not_in_player_json_output_list,AG Prince,8521
batter_not_in_player_json_output_list,Mohammad Yousuf,8520
batter_not_in_player_json_output_list,SC Williams,8492
batter_not_in_player_json_output_list,HH Gibbs,8464
batter_not_in_player_json_output_list,D Ramdin,8444
batter_not_in_player_json_output_list,MJ Prior,8420
batter_not_in_player_json_output_list,EA Perry,8392
batter_not_in_player_json_output_list,DJ Bravo,8324
batter_not_in_player_json_output_list,SR Taylor,7997
batter_not_in_player_json_output_list,SC Ganguly,7918
batter_not_in_player_json_output_list,Sarfraz Ahmed,7669
batter_not_in_player_json_output_list,BL Mooney,7576
batter_not_in_player_json_output_list,SW Bates,7471
batter_not_in_player_json_output_list,Nazmul Hossain Shanto,7396
batter_not_in_player_json_output_list,R Ashwin,7393
batter_not_in_player_json_output_list,H Kaur,7372
batter_not_in_player_json_output_list,Kamran Akmal,7182
batter_not_in_player_json_output_list,AC Jayangani,7128
batter_not_in_player_json_output_list,MP Vaughan,7122
batter_not_in_player_json_output_list,Imrul Kayes,7094
batter_not_in_player_json_output_list,MM Lanning,6975
batter_not_in_player_json_output_list,Salman Butt,6934
batter_not_in_player_json_output_list,Mohammad Ashraful,6877
batter_not_in_player_json_output_list,AC Gilchrist,6847
batter_not_in_player_json_output_list,Ahmed Shehzad,6839
batter_not_in_player_json_output_list,ME Trescothick,6745
batter_not_in_player_json_output_list,Umar Akmal,6541
batter_not_in_player_json_output_list,S Luus,6540
batter_not_in_player_json_output_list,HK Matthews,6516
batter_not_in_player_json_output_list,AJ Healy,6446
batter_not_in_player_json_output_list,SCJ Broad,6440
batter_not_in_player_json_output_list,DL Vettori,6395
batter_not_in_player_json_output_list,MS Wade,6350
batter_not_in_player_json_output_list,A Symonds,6301
batter_not_in_player_json_output_list,SP Fleming,6180
batter_not_in_player_json_output_list,A Flintoff,6165
batter_not_in_player_json_output_list,ST Jayasuriya,6109
batter_not_in_player_json_output_list,M Raj,6081
batter_not_in_player_json_output_list,T Taibu,6063
batter_not_in_player_json_output_list,SB Styris,6016
batter_not_in_player_json_output_list,SFM Devine,5962
batter_not_in_player_json_output_list,DR Martyn,5904
batter_not_in_player_json_output_list,CR Woakes,5687
batter_not_in_player_json_output_list,BC Lara,5604
batter_not_in_player_json_output_list,DJ Malan,5595
batter_not_in_player_json_output_list,Bismah Maroof,5589
batter_not_in_player_json_output_list,JJ Roy,5572
batter_not_in_player_json_output_list,E Chigumbura,5559
batter_not_in_player_json_output_list,DB Sharma,5394
batter_not_in_player_json_output_list,NR Sciver,5362
batter_not_in_player_json_output_list,Imran Farhat,5330
batter_not_in_player_json_output_list,RD Berrington,5285
batter_not_in_player_json_output_list,AD Hales,5275
batter_not_in_player_json_output_list,GH Lewis,5238
batter_not_in_player_json_output_list,RS Bopara,5231
batter_not_in_player_json_output_list,JK Silva,5225
batter_not_in_player_json_output_list,Nigar Sultana,5190
batter_not_in_player_json_output_list,V Sibanda,5066
batter_not_in_player_json_output_list,MP O'Dowd,4952
batter_not_in_player_json_output_list,AE Jones,4926
batter_not_in_player_json_output_list,Sidra Ameen,4915
batter_not_in_player_json_output_list,M Kapp,4910
batter_not_in_player_json_output_list,WTS Porterfield,4884
batter_not_in_player_json_output_list,Inzamam-ul-Haq,4851
batter_not_in_player_json_output_list,AC Kerr,4801
batter_not_in_player_json_output_list,JI Rodrigues,4779
batter_not_in_player_json_output_list,Taufeeq Umar,4693
batter_not_in_player_json_output_list,TD Paine,4690
batter_not_in_player_json_output_list,AN Petersen,4681
batter_not_in_player_json_output_list,HG Munsey,4656
batter_not_in_player_json_output_list,JA Rudolph,4645
batter_not_in_player_json_output_list,MG Johnson,4644
