playerId,name,fullName,nationality,role,battingHand,playerJsonBowlingType,playerJsonBowlingHand,playerJsonBowlingStyle,metadataFoundForSameId,metadataName,metadataCountry,metadataBowlingType,metadataBowlingHand,metadataBowlingStyle,hasCricsheetRegisterMatch,cricsheetId
1326798,AM Ghazanfar,AM Ghazanfar,Afghanistan,bowler,right,spin,right,Off Break,yes,AM Ghazanfar,Afghanistan,spin,right,Right-arm offbreak,yes,9ca68676
1059030,Abdul Malik,Abdul Malik,Afghanistan,bowler,right,spin,right,Off Break,yes,Abdul Malik,Afghanistan,spin,right,Right-arm offbreak,yes,b3218c80
974173,Abdul Noori,Abdul Wasi Noori,Afghanistan,bowler,right,spin,right,Leg Break,yes,Abdul Wasi,Afghanistan,spin,right,Legbreak,yes,be7d715b
420402,Afsar Zazai,Afsar Khan Zazai,Afghanistan,wicketkeeper,right,,,,yes,Afsar Zazai,Afghanistan,,,,yes,50930025
402245,Amir Hamza,Amir Hamza,Afghanistan,all-rounder,,,,,no,,,,,,yes,dca1ac2e
819429,Azmatullah Omarzai,Azmatullah Omarzai,Afghanistan,all-rounder,right,pace,right,Right-arm medium-fast,yes,Azmatullah Omarzai,Afghanistan,pace,right,Right-arm medium-fast,yes,8f6dd463
1174726,Bilal Sami,Bilal Sami,Afghanistan,bowler,right,pace,right,Right-arm medium,yes,Bilal Sami,Afghanistan,pace,right,Right-arm medium,yes,4fef092b
819441,Darwish Rasooli,Darwish Rasooli,Afghanistan,batsman,right,spin,right,Off Break,yes,Darwish Rasooli,Afghanistan,spin,right,Right-arm offbreak,yes,3b2114a5
568136,Fareed Malik,Fareed Ahmad Malik,Afghanistan,bowler,left,pace,left,Left-arm fast-medium,yes,Fareed Ahmad,Afghanistan,pace,left,Left-arm fast-medium,yes,67b7bad4
976429,Farmanullah Safi,Farmanullah Safi,Afghanistan,bowler,left,pace,right,Right-arm medium-fast,yes,Farmanullah,Afghanistan,pace,right,Right-arm medium-fast,yes,3f607519
974175,Fazalhaq Farooqi,Fazalhaq Farooqi,Afghanistan,all-rounder,right,pace,left,Left-arm fast-medium,yes,Fazalhaq Farooqi,Afghanistan,pace,left,Left-arm fast-medium,yes,e9c7f0d0
352048,Gulbadin Naib,Gulbadin Naib,Afghanistan,all-rounder,right,pace,right,Right-arm medium-fast,yes,Gulbadin Naib,Afghanistan,pace,right,Right-arm medium-fast,yes,9f77963a
311427,Hamid Hassan,Hamid Hassan,Afghanistan,all-rounder,right,pace,right,Right-arm fast,yes,Hamid Hassan,Afghanistan,pace,right,Right-arm fast,yes,093ae70b
440970,Hashmatullah Shahidi,Hashmatullah Shahidi,Afghanistan,batsman,left,spin,right,Off Break,yes,Hashmatullah Shahidi,Afghanistan,spin,right,Right-arm offbreak,yes,c2a46cb4
921509,Ibrahim Zadran,Ibrahim Zadran,Afghanistan,batsman,right,pace,right,Right-arm medium-fast,yes,Ibrahim Zadran,Afghanistan,pace,right,Right-arm medium-fast,yes,d4550956
